Product_Name,Order_Guide_Line_No,Product_Code,UPC_Code,Category,Unit_Of_Measure,Case_Weight,Case_Size_WxHxD,Unit_Weight,Unit_Size_WxHxD,Pallet_Qty,Country_Of_Origin,Availability,Unit_Price,Image_link
Bicycle Pump,,90850,039593908509,Misc. Tools - All Others,24/EACH,24 lbs,"9.84"" x 20.47"" x 22.05""",,,480 units,,,,http://p2.glwholesale.com/l/90850.jpg
FOOT PUMP,,90860,,Misc. Tools - All Others,12/EACH,53 lbs,"13.39"" x 17.72"" x 23.23""",1.950 lbs,,0 units,,,,http://p2.glwholesale.com/l/90860.jpg
40PC Tap & Die Set (S.A.E.),,90970,039593909704,Misc. Tools - All Others,12/EACH,39 lbs,"15.75"" x 14.17"" x 22.05""",17.200 lbs,,360 units,,,,http://p2.glwholesale.com/l/90970.jpg
40PC Tap & Die Set (METRIC),,90980,039593909803,Misc. Tools - All Others,12/EACH,39 lbs,"23.62"" x 13.78"" x 21.65""",16.000 lbs,,288 units,,,,http://p2.glwholesale.com/l/90980.jpg
"16"" TOOL BAG RUBBER BASE",,91125,039593911257,Misc. Tools - All Others,6/EACH,27 lbs,"10.24"" x 18.11"" x 18.90""",,,120 units,,,,http://p2.glwholesale.com/l/91125.jpg
Magnifier Reading Light,,90725,039593907250,Misc. Tools - All Others,24/EACH,8 lbs,"14.17"" x 17.32"" x 11.02""",,,576 units,,,,http://p2.glwholesale.com/l/90725.jpg
Industrial Scissors,,90535,039593905355,Misc. Tools - All Others,48/EACH,18 lbs,"11.81"" x 20.08"" x 14.17""",,,"1,152 units",,,,http://p2.glwholesale.com/l/90535.jpg
Heavy Duty Staple Gun,,90585,039593905850,Misc. Tools - All Others,24/EACH,37 lbs,"12.99"" x 17.72"" x 17.72""",,,0 units,,,,http://p2.glwholesale.com/l/90585.jpg
12 LED MAGNIFY GLASS 3X POWER,,90724,039593907243,Misc. Tools - All Others,24/EACH,12 lbs,"11.42"" x 17.32"" x 10.63""",,,0 units,,,,http://p2.glwholesale.com/l/90724.jpg
CYLINDER LOUPE w/ LED'S,,90738,039593907380,Misc. Tools - All Others,10/EACH,7 lbs,"9.06"" x 13.39"" x 5.12""",,,0 units,,,,http://p2.glwholesale.com/l/90738.jpg
12PC MAGNIFYING GLASS SET,,90750,039593907502,Misc. Tools - All Others,12/EACH,48 lbs,"12.60"" x 15.75"" x 26.77""",22.000 lbs,,216 units,,,,http://p2.glwholesale.com/l/90750.jpg
Helping Hand Magnifier,,90800,039593908004,Misc. Tools - All Others,36/EACH,33 lbs,"17.32"" x 21.65"" x 23.62""",1.222 lbs,,0 units,,,,http://p2.glwholesale.com/l/90800.jpg
"2 1/2"""" Helping Hand Magnifier With LED Light",,90805,039593908059,Misc. Tools - All Others,12/EACH,31 lbs,"18.50"" x 18.50"" x 25.59""",,,96 units,,,,http://p2.glwholesale.com/l/90805.jpg
MOBILE PHONE MICROSCOPE -15X,,90815,039593908158,Misc. Tools - All Others,48/EACH,5 lbs,"7.09"" x 12.60"" x 7.87""",,,0 units,,,,http://p2.glwholesale.com/l/90815.jpg
"10pc 1-1/2"" MAGNETIC HOOKS",,90375,039593903757,Misc. Tools - All Others,24/EACH,29 lbs,"12.20"" x 21.26"" x 8.66""",,,0 units,,,,http://p2.glwholesale.com/l/90375.jpg
"24 1/2"""" Claw Magnet & LED Pick-Up Tool",,90387,039593903870,Misc. Tools - All Others,48/EACH,15 lbs,"11.02"" x 26.38"" x 7.87""",,,"1,728 units",,,,http://p2.glwholesale.com/l/90387.jpg
"36"""" Industrial Pick Up Tool",,90425,039593904259,Misc. Tools - All Others,24/EACH,28 lbs,"22.44"" x 35.43"" x 6.69""",,,288 units,,,,http://p2.glwholesale.com/l/90425.jpg
Magnetic Pick-Up With Quick Release,,90364,039593903641,Misc. Tools - All Others,12/EACH,33 lbs,"19.69"" x 31.50"" x 14.17""",,,108 units,,,,http://p2.glwholesale.com/l/90364.jpg
Telescoping Magnetic Pick Up,,90362,039593903627,Misc. Tools - All Others,24/EACH,29 lbs,"13.39"" x 30.31"" x 8.66""",,,384 units,,,,http://p2.glwholesale.com/l/90362.jpg
L.E.D. Telescoping Inspection Mirror,,90334,039593903344,Misc. Tools - All Others,48/EACH,31 lbs,"14.96"" x 15.35"" x 8.66""",,,"2,160 units",,,,http://p2.glwholesale.com/l/90334.jpg
50LBS Magnetic Pick-Up Tool,,90361,039593903610,Misc. Tools - All Others,24/EACH,44 lbs,"17.32"" x 7.09"" x 27.17""",1.400 lbs,,0 units,,,,http://p2.glwholesale.com/l/90361.jpg
10 Pound Barrel Magnet Pick-Up Tool,,90366,039593903665,Misc. Tools - All Others,48/EACH,18 lbs,"12.60"" x 20.47"" x 13.39""",,,864 units,,,,http://p2.glwholesale.com/l/90366.jpg
TEL LED MAGNETIC PICK-UP TOOL,,90305,039593903054,Misc. Tools - All Others,48/EACH,11 lbs,"10.24"" x 14.57"" x 9.45""",,,0 units,,,,http://p2.glwholesale.com/l/90305.jpg
Monster Magnet Pick-Up Tool,,90301,039593903016,Misc. Tools - All Others,72/EACH,22 lbs,"11.02"" x 11.42"" x 12.20""",0.250 lbs,,"3,600 units",,,,http://p2.glwholesale.com/l/90301.jpg
Magnetic Paper Towel Holder,,90292,039593902927,Misc. Tools - All Others,12/EACH,26 lbs,"10.63"" x 14.17"" x 14.57""",,,432 units,,,,http://p2.glwholesale.com/l/90292.jpg
MAGNETIC PICK-UP TOOL,,90299,039593902996,Misc. Tools - All Others,24/EACH,9 lbs,"12.20"" x 16.14"" x 7.48""",,,0 units,,,,http://p2.glwholesale.com/l/90299.jpg
"48"""" Jumbo Pick Up Tool",,90428,039593904280,Misc. Tools - All Others,12/EACH,15 lbs,"6.30"" x 48.03"" x 11.02""",,,216 units,,,,http://p2.glwholesale.com/l/90428.jpg
"36"""" Jumbo Pick Up Tool",,90426,039593904266,Misc. Tools - All Others,24/EACH,28 lbs,"22.44"" x 35.43"" x 6.69""",,,288 units,,,,http://p2.glwholesale.com/l/90426.jpg
5PC Comfort Grip Scissors,,90450,039593904501,Misc. Tools - All Others,36/EACH,33 lbs,"12.99"" x 23.62"" x 14.57""",0.900 lbs,,720 units,,,,http://p2.glwholesale.com/l/90450.jpg
Utility Snips,,90505,039593905058,Misc. Tools - All Others,48/EACH,10 lbs,"10.24"" x 11.81"" x 12.99""",,,"2,304 units",,,,http://p2.glwholesale.com/l/90505.jpg
"15"" MAGNETIC KNIFE BOARD",,90286,039593902866,Misc. Tools - All Others,24/EACH,17 lbs,"8.27"" x 18.50"" x 8.27""",,,0 units,,,,http://p2.glwholesale.com/l/90286.jpg
SUPER MAGNETIC TOOL BAR,,90287,039593902873,Misc. Tools - All Others,24/EACH,40 lbs,"7.09"" x 12.99"" x 8.66""",,,0 units,,,,http://p2.glwholesale.com/l/90287.jpg
"12"""" Magnetic Tool Bars 2pc",,90288,039593902880,Misc. Tools - All Others,24/EACH,50 lbs,"9.45"" x 14.96"" x 10.24""",,,"1,152 units",,,,http://p2.glwholesale.com/l/90288.jpg
Snap Fastener Plier with 108 Snaps,,90202,039593902026,Misc. Tools - All Others,48/EACH,19 lbs,"15.75"" x 18.50"" x 6.30""",,,"1,728 units",,,,http://p2.glwholesale.com/l/90202.jpg
Leather Punch & Grommet Tool Set,,90235,039593902354,Misc. Tools - All Others,12/EACH,20 lbs,"12.20"" x 15.35"" x 12.20""",,,0 units,,,,http://p2.glwholesale.com/l/90235.jpg
Grommet Punch & 50 Grommets,,90247,039593902477,Misc. Tools - All Others,36/EACH,24 lbs,"11.02"" x 15.75"" x 9.84""",,,"2,160 units",,,,http://p2.glwholesale.com/l/90247.jpg
Revolving Leather Punch 6 sizes,,90250,039593902507,Misc. Tools - All Others,72/EACH,42 lbs,"12.20"" x 18.50"" x 20.87""",0.650 lbs,,"1,296 units",,,,http://p2.glwholesale.com/l/90250.jpg
"24"""" Magnetic Sweeper",,90280,039593902804,Misc. Tools - All Others,1/EACH,22 lbs,"7.87"" x 7.48"" x 30.31""",,,18 units,,,,http://p2.glwholesale.com/l/90280.jpg
10lb ROLLING MAGNETIC PICK-UP,,90282,039593902828,Misc. Tools - All Others,6/EACH,26 lbs,"9.06"" x 42.13"" x 10.63""",,,96 units,,,,http://p2.glwholesale.com/l/90282.jpg
85pc PINK RATCHET SCREWDRIVER,,88485,039593884858,Misc. Tools - All Others,16/EACH,31 lbs,"14.96"" x 14.57"" x 9.84""",,,0 units,,,,http://p2.glwholesale.com/l/88485.jpg
"20"" PINK LADIES TOOL BOX W/TRA",,88495,039593884957,Misc. Tools - All Others,4/EACH,28 lbs,"18.90"" x 20.47"" x 17.72""",,,0 units,,,,http://p2.glwholesale.com/l/88495.jpg
9 PIECE LADIES TOOL BAG,,89808,039593898084,Misc. Tools - All Others,6/EACH,19 lbs,"9.45"" x 13.78"" x 14.17""",,,270 units,,,,http://p2.glwholesale.com/l/89808.jpg
Shop Clock - Saw Blade,,89870,039593898701,Misc. Tools - All Others,5/EACH,9 lbs,"14.96"" x 13.39"" x 9.06""",,"364.17"" x 590.55"" x 521.65",240 units,,,,http://p2.glwholesale.com/l/89870.jpg
"1/8""",,90000,039593900008,Misc. Tools - All Others,24/EACH,20 lbs,"14.17"" x 14.96"" x 14.96""",1.250 lbs,,0 units,,,,http://p2.glwholesale.com/l/90000.jpg
Screw Extractor Set With Case,,90055,039593900558,Misc. Tools - All Others,24/EACH,13 lbs,"12.20"" x 9.45"" x 11.42""",,,"1,440 units",,,,http://p2.glwholesale.com/l/90055.jpg
3pc SCREW & BOLT REMOVER SET,,90080,039593900800,Misc. Tools - All Others,24/EACH,13 lbs,"12.20"" x 9.45"" x 11.42""",,,0 units,,,,http://p2.glwholesale.com/l/90080.jpg
HD Eyelet Pliers with 100 Eyelets,,90200,039593902002,Misc. Tools - All Others,36/EACH,26 lbs,"9.45"" x 15.35"" x 13.39""",,,"1,728 units",,,,http://p2.glwholesale.com/l/90200.jpg
"12"" PINK LADIES TOOL BAG",,88475,039593884759,Misc. Tools - All Others,10/EACH,18 lbs,"10.63"" x 15.35"" x 15.35""",,,0 units,,,,http://p2.glwholesale.com/l/88475.jpg
225pc NITRILE O-RING ASST,,82865,039593828654,Misc. Tools - All Others,24/EACH,10 lbs,"8.27"" x 19.29"" x 9.06""",,,0 units,,,,http://p2.glwholesale.com/l/82865.jpg
"6"""" Ladies Adjustable Wrench",,88050,039593880508,Misc. Tools - All Others,72/EACH,26 lbs,"16.14"" x 10.63"" x 8.27""",,,"3,240 units",,,,http://p2.glwholesale.com/l/88050.jpg
8oz Ladies Claw Hammer,,88400,039593884001,Misc. Tools - All Others,48/EACH,35 lbs,"15.75"" x 12.60"" x 16.54""",,,"1,296 units",,,,http://p2.glwholesale.com/l/88400.jpg
88pc LADIES TOOLS PROGRAM,,88450,039593884506,Misc. Tools - All Others,88/EACH,62 lbs,"22.83"" x 22.83"" x 23.62""",,,704 units,,,,http://p2.glwholesale.com/l/88450.jpg
85pc PINK TOOL KIT w/ POUCH,,88465,039593884650,Misc. Tools - All Others,8/EACH,26 lbs,"9.84"" x 18.50"" x 13.39""",,,0 units,,,,http://p2.glwholesale.com/l/88465.jpg
3pc TOOL BOX SET W/TRAYS -22-1,,98135,039593981359,Misc. Tools - All Others,2/EACH,24 lbs,"13.39"" x 22.83"" x 24.02""",,,0 units,,,,http://p2.glwholesale.com/l/98135.jpg
24 CPT CLEAR PARTS CONTAINER,,98170,039593981700,Misc. Tools - All Others,6/EACH,9 lbs,"9.84"" x 11.81"" x 15.75""",,,288 units,,,,http://p2.glwholesale.com/l/98170.jpg
Transparent Plastic Tool Box With Tray,,98125,039593981250,Misc. Tools - All Others,6/EACH,18 lbs,"16.93"" x 25.20"" x 16.14""",,,60 units,,,,http://p2.glwholesale.com/l/98125.jpg
Small Stackable Tray Set 8pc,,98175,039593981755,Misc. Tools - All Others,2/EACH,4 lbs,"9.06"" x 9.06"" x 13.78""",,,150 units,,,,http://p2.glwholesale.com/l/98175.jpg
Large Stackable Tray Set 4pc,,98177,039593981779,Misc. Tools - All Others,2/EACH,4 lbs,"10.63"" x 12.20"" x 13.39""",,,72 units,,,,http://p2.glwholesale.com/l/98177.jpg
Can Crusher 16oz.,,97610,039593976102,Misc. Tools - All Others,24/EACH,64 lbs,"18.50"" x 21.26"" x 14.17""",,,288 units,,,,http://p2.glwholesale.com/l/97610.jpg
16 LED HURRICANE LANTERN,,97250,039593972500,Misc. Tools - All Others,12/EACH,13 lbs,"11.81"" x 25.98"" x 9.45""",,,192 units,,,,http://p2.glwholesale.com/l/97250.jpg
"14"" 21 LED HURRICANE LANTERN",,97290,039593972906,Misc. Tools - All Others,6/EACH,12 lbs,"14.17"" x 18.11"" x 12.99""",,,108 units,,,,http://p2.glwholesale.com/l/97290.jpg
SMALL METAL FISH BOWL RACK,,00008S,039593000081,Misc. Tools - All Others,2/EACH,4 lbs,"11.02"" x 6.69"" x 9.06""",,,144 units,,,,http://p2.glwholesale.com/l/00008S.jpg
750 BASIC TOOL KIT #10,,750KIT-10,,Misc. Tools - All Others,1/EACH,,"16.93"" x 20.47"" x 9.06""",,,0 units,,,,http://p2.glwholesale.com/l/750KIT-10.jpg
171pc HEAT SHRINK TUBE ASST,,82855,039593828555,Misc. Tools - All Others,24/EACH,13 lbs,"11.02"" x 22.05"" x 9.45""",,,0 units,,,,http://p2.glwholesale.com/l/82855.jpg
"6.5"" LED HURRICANE LANTERN",,97100,039593971008,Misc. Tools - All Others,36/EACH,,,,,432 units,,,,http://p2.glwholesale.com/l/97100.jpg
150 Lumen Swivel Worklight COB Technology,,93820,039593938209,Misc. Tools - All Others,24/EACH,18 lbs,"11.81"" x 15.75"" x 9.84""",,,0 units,,,,http://p2.glwholesale.com/l/93820.jpg
15 LED EMERGENCY & WORK LIGHT,,93830,039593938308,Misc. Tools - All Others,48/EACH,20 lbs,"12.99"" x 16.93"" x 8.66""",,,0 units,,,,http://p2.glwholesale.com/l/93830.jpg
COB  PIVOTING WORKLIGHT,,93840,039593938407,Misc. Tools - All Others,48/EACH,25 lbs,"15.35"" x 15.75"" x 10.24""",,,0 units,,,,http://p2.glwholesale.com/l/93840.jpg
24 SMD MAGNETIC TROUBLE LIGHT,,93850,039593938506,Misc. Tools - All Others,24/EACH,12 lbs,"12.20"" x 18.11"" x 9.84""",,,0 units,,,,http://p2.glwholesale.com/l/93850.jpg
Extendable Baton Flashlight with Cree XP-E Bulb,,93420,039593934201,Misc. Tools - All Others,24/EACH,22 lbs,"11.81"" x 18.11"" x 13.78""",,,"1,080 units",,,,http://p2.glwholesale.com/l/93420.jpg
1/2 WATT LED PEN LIGHT,,93900,039593939008,Misc. Tools - All Others,72/EACH,8 lbs,"10.24"" x 11.81"" x 5.91""",,,"6,048 units",,,,http://p2.glwholesale.com/l/93900.jpg
20 + 1 LED WORKLIGHT CAMO,,93235S,039593932351,Misc. Tools - All Others,24/EACH,8 lbs,"9.84"" x 12.60"" x 7.09""",,,0 units,,,,http://p2.glwholesale.com/l/93235S.jpg
Kerosene Hurricane Lantern,,97200,039593972005,Misc. Tools - All Others,12/EACH,15 lbs,"11.81"" x 9.45"" x 25.98""",13.500 lbs,,0 units,,,,http://p2.glwholesale.com/l/97200.jpg
"12"" COPPER HURRICANE LANTERN",,97210,039593972104,Misc. Tools - All Others,12/EACH,13 lbs,"11.81"" x 25.98"" x 9.84""",,,288 units,,,,http://p2.glwholesale.com/l/97210.jpg
2-IN-1 Can Crusher/Bottle Opener,,97600,039593976003,Misc. Tools - All Others,24/EACH,57 lbs,"18.90"" x 13.78"" x 20.87""",2.250 lbs,,288 units,,,,http://p2.glwholesale.com/l/97600.jpg
24 LED CAMO SWIVEL LANTERN,,93274,039593932740,Misc. Tools - All Others,24/EACH,15 lbs,"16.54"" x 22.83"" x 11.02""",,,0 units,,,,http://p2.glwholesale.com/l/93274.jpg
RECHARGABLE CREE T6 FLASHLIGHT,,93500,039593935000,Misc. Tools - All Others,12/EACH,11 lbs,"14.17"" x 11.02"" x 12.60""",,,600 units,,,,http://p2.glwholesale.com/l/93500.jpg
Camo Cap Light,,92917,039593929177,Misc. Tools - All Others,48/EACH,11 lbs,"11.81"" x 15.35"" x 19.69""",,,0 units,,,,http://p2.glwholesale.com/l/92917.jpg
ALUMINUM LED FLASHLIGHT -- AAA,,92919,039593929191,Misc. Tools - All Others,12/EACH,5 lbs,"11.42"" x 21.65"" x 7.09""",,,576 units,,,,http://p2.glwholesale.com/l/92919.jpg
Head Band Lamp,,92916,039593929160,Misc. Tools - All Others,48/EACH,14 lbs,"11.81"" x 27.17"" x 17.72""",,,768 units,,,,http://p2.glwholesale.com/l/92916.jpg
30 LED Flashlight With & Green & Laser,,92969,039593929696,Misc. Tools - All Others,48/EACH,24 lbs,"13.78"" x 15.35"" x 11.02""",,,"1,728 units",,,,http://p2.glwholesale.com/l/92969.jpg
SAE & MM Folding Lug Wrench,,87620,039593876204,Wrenches,12/EACH,35 lbs,"6.30"" x 14.96"" x 10.24""",,,"1,080 units",,,,http://p2.glwholesale.com/l/87620.jpg
"24"""" Heavy Duty Pipe Wrench",,86300,039593863006,Wrenches,6/EACH,40 lbs,"8.27"" x 4.33"" x 20.87""",8.150 lbs,,0 units,,,,http://p2.glwholesale.com/l/86300.jpg
"18"""" Heavy Duty Pipe Wrench",,86250,039593862504,Wrenches,12/EACH,51 lbs,"6.30"" x 7.48"" x 16.93""",4.850 lbs,,0 units,,,,http://p2.glwholesale.com/l/86250.jpg
"36"" H/D Pipe Wrench with Grip",,86305,039593863051,Wrenches,4/EACH,40 lbs,"16.54"" x 31.50"" x 16.54""",14.850 lbs,,0 units,,,,http://p2.glwholesale.com/l/86305.jpg
9PC Folding Hex Key Wrench,,85710,039593857104,Wrenches,48/EACH,22 lbs,"12.60"" x 9.45"" x 16.93""",9.000 lbs,,"1,920 units",,,,http://p2.glwholesale.com/l/85710.jpg
14PC Folding Hex Key Wrench,,85800,039593858002,Wrenches,48/EACH,55 lbs,"12.20"" x 17.32"" x 18.90""",0.600 lbs,,"1,008 units",,,,http://p2.glwholesale.com/l/85800.jpg
19-in-1 Hex Key Multi Tool,,85850,039593858507,Wrenches,48/EACH,29 lbs,"12.20"" x 17.72"" x 4.72""",,,"3,072 units",,,,http://p2.glwholesale.com/l/85850.jpg
"20"""" Lug Wrench",,87600,039593876006,Wrenches,10/EACH,57 lbs,"14.96"" x 17.32"" x 14.96""",3.960 lbs,,240 units,,,,http://p2.glwholesale.com/l/87600.jpg
"Anodized 20"""" Lug Wrench",,87610,039593876105,Wrenches,10/EACH,37 lbs,"16.93"" x 15.35"" x 7.48""",,,360 units,,,,http://p2.glwholesale.com/l/87610.jpg
25PC Ball End Hex Driver Set,,85600,039593856008,Wrenches,24/EACH,40 lbs,"15.35"" x 9.06"" x 16.14""",1.500 lbs,,960 units,,,,http://p2.glwholesale.com/l/85600.jpg
"10"""" Heavy Duty Pipe Wrench",,86150,039593861507,Wrenches,36/EACH,53 lbs,"9.45"" x 10.63"" x 7.87""",1.550 lbs,,0 units,,,,http://p2.glwholesale.com/l/86150.jpg
"14"""" Heavy Duty Pipe Wrench",,86200,039593862009,Wrenches,12/EACH,35 lbs,"7.09"" x 5.91"" x 13.78""",3.250 lbs,,0 units,,,,http://p2.glwholesale.com/l/86200.jpg
9PC Tamper Proof Star/Hex Key,,85660,039593856602,Wrenches,36/EACH,26 lbs,"11.42"" x 11.02"" x 14.17""",,,"1,296 units",,,,http://p2.glwholesale.com/l/85660.jpg
6pc JUMBO WRENCH SET W /CLIP,,84350,039593843503,Wrenches,2/EACH,48 lbs,"10.63"" x 5.12"" x 24.80""",21.000 lbs,,108 units,,,,http://p2.glwholesale.com/l/84350.jpg
6pc Multi-Drive Wrench Set,,84280,039593842803,Wrenches,24/EACH,27 lbs,"11.02"" x 20.47"" x 9.45""",,,0 units,,,,http://p2.glwholesale.com/l/84280.jpg
10PC JUMBO WRENCH SET,,84450,039593844500,Wrenches,2/EACH,66 lbs,"9.06"" x 8.27"" x 24.80""",32.000 lbs,,108 units,,,,http://p2.glwholesale.com/l/84450.jpg
5pc SAE Raised Panel Combination Wrench Set,,84612,039593846122,Wrenches,48/EACH,51 lbs,"16.93"" x 9.06"" x 17.72""",,,960 units,,,,http://p2.glwholesale.com/l/84612.jpg
Strap Wrench,,84700,039593847006,Wrenches,72/EACH,22 lbs,"12.99"" x 12.60"" x 22.44""",0.250 lbs,,0 units,,,,http://p2.glwholesale.com/l/84700.jpg
2pc STRAP WRENCH SET,,84730,039593847303,Wrenches,24/EACH,23 lbs,"14.57"" x 15.75"" x 16.14""",,,0 units,,,,http://p2.glwholesale.com/l/84730.jpg
2 in 1 WIDE MOUTH WRENCH,,83450,039593834501,Wrenches,6/EACH,9 lbs,"6.69"" x 5.51"" x 11.02""",,,846 units,,,,http://p2.glwholesale.com/l/83450.jpg
"16"" MULTI-SPUD WRENCH",,83265,039593832651,Wrenches,12/EACH,29 lbs,"8.27"" x 20.08"" x 6.30""",,,0 units,,,,http://p2.glwholesale.com/l/83265.jpg
"15"" Adjustable Spud Wrench",,83260,039593832606,Wrenches,6/EACH,14 lbs,"3.94"" x 17.32"" x 7.48""",,,720 units,,,,http://p2.glwholesale.com/l/83260.jpg
"15"""" Adjustable Wrench",,83255,039593832552,Wrenches,12/EACH,40 lbs,"5.91"" x 17.32"" x 11.42""",3.050 lbs,,0 units,,,,http://p2.glwholesale.com/l/83255.jpg
25PC Hex Key Wrench Set,,85200,,Wrenches,12/EACH,44 lbs,"12.60"" x 12.60"" x 15.35""",1.600 lbs,,0 units,,,,http://p2.glwholesale.com/l/85200.jpg
"12"""" Adjustable Spud Wrench",,83220,039593832200,Wrenches,6/EACH,8 lbs,"5.12"" x 12.20"" x 2.76""",,,"1,620 units",,,,http://p2.glwholesale.com/l/83220.jpg
"12"""" Adjustable Wrench",,83200,039593832002,Wrenches,24/EACH,42 lbs,"9.45"" x 12.20"" x 14.17""",1.650 lbs,,"1,440 units",,,,http://p2.glwholesale.com/l/83200.jpg
"10"""" ADJUSTABLE WRENCH",,83150,039593831500,Wrenches,24/EACH,29 lbs,"8.66"" x 9.84"" x 12.60""",1.008 lbs,,"2,592 units",,,,http://p2.glwholesale.com/l/83150.jpg
"18"""" Adjustable Wrench",,83300,039593833009,Wrenches,12/EACH,59 lbs,"5.51"" x 11.02"" x 18.50""",28.000 lbs,,672 units,,,,http://p2.glwholesale.com/l/83300.jpg
6PC Sae Deep Offset Ring Wrench Set,,84260,039593842605,Wrenches,12/EACH,26 lbs,"12.60"" x 7.09"" x 11.81""",,,"1,008 units",,,,http://p2.glwholesale.com/l/84260.jpg
6PC MM Deep Offset Ring Wrench Set,,84270,039593842704,Wrenches,12/EACH,29 lbs,"12.60"" x 7.09"" x 11.81""",,,"1,008 units",,,,http://p2.glwholesale.com/l/84270.jpg
"6"" Adjustable Wrench",,83060,039593830602,Wrenches,36/EACH,15 lbs,"8.27"" x 8.66"" x 10.63""",0.350 lbs,,"3,456 units",,,,http://p2.glwholesale.com/l/83060.jpg
"15"""" Adjustable Wrench",,83250,,Wrenches,12/EACH,40 lbs,"5.91"" x 17.32"" x 11.42""",3.050 lbs,,0 units,,,,http://p2.glwholesale.com/l/83250.jpg
8PC T-Handle Hex Key With Pouch,,85300,039593853007,Wrenches,48/EACH,42 lbs,"12.20"" x 13.78"" x 21.65""",,,"1,728 units",,,,http://p2.glwholesale.com/l/85300.jpg
"8"" Adjustable Wrench",,83100,039593831005,Wrenches,36/EACH,26 lbs,"10.24"" x 9.84"" x 11.81""",0.550 lbs,,"2,592 units",,,,http://p2.glwholesale.com/l/83100.jpg
"2"" 40 GRIT FLAP WHEEL- 10pc",,81020,039593810208,Wheels & Abrasives,24/EACH,6 lbs,"10.63"" x 12.60"" x 11.02""",,,0 units,,,,http://p2.glwholesale.com/l/81020.jpg
"2"" 60 GRIT FLAP WHEELS - 10pc",,81025,039593810253,Wheels & Abrasives,24/EACH,6 lbs,"10.63"" x 12.60"" x 11.02""",,,0 units,,,,http://p2.glwholesale.com/l/81025.jpg
5pc Flap Disc Set,,81005,039593810055,Wheels & Abrasives,48/EACH,20 lbs,"24.02"" x 25.59"" x 11.81""",,,0 units,,,,http://p2.glwholesale.com/l/81005.jpg
"2"" 24 GRIT FLAP WHEEL- 10pc",,81019,039593810192,Wheels & Abrasives,24/EACH,13 lbs,"10.63"" x 12.60"" x 11.02""",,,0 units,,,,http://p2.glwholesale.com/l/81019.jpg
100pc Mini Auto Fuse Assortment,,82984,039593829842,Wheels & Abrasives,24/EACH,10 lbs,"9.84"" x 15.35"" x 10.24""",,,768 units,,,,http://p2.glwholesale.com/l/82984.jpg
150PC LARGE COTTER PIN ASST.,,82975,039593829750,Wheels & Abrasives,12/EACH,57 lbs,"11.02"" x 9.45"" x 12.60""",,,960 units,,,,http://p2.glwholesale.com/l/82975.jpg
127pc Heat Shrink Tubing Assortment,,82986,039593829866,Wheels & Abrasives,24/EACH,10 lbs,"9.84"" x 15.35"" x 10.24""",,,"1,152 units",,,,http://p2.glwholesale.com/l/82986.jpg
20pk AUTO ZIP REFILL 1500 GRIT,,8306G,082354083069,Wheels & Abrasives,20/EACH,,,,,0 units,,,,http://p2.glwholesale.com/l/8306G.jpg
"Knotted Cup Wheel Brush 3""""",,82200,039593822003,Wheels & Abrasives,36/EACH,24 lbs,"8.27"" x 15.75"" x 14.96""",0.600 lbs,,0 units,,,,http://p2.glwholesale.com/l/82200.jpg
"4"""" RIGID CASTER RUBBER 4"""" X 1.5""""",,80817,039593808175,Wheels & Abrasives,10/EACH,33 lbs,"10.63"" x 4.72"" x 15.35""",4.180 lbs,,0 units,,,,http://p2.glwholesale.com/l/80817.jpg
"6"""" Swivel Caster Rubber 6"""" X 2""""",,80820,039593808205,Wheels & Abrasives,8/EACH,51 lbs,"14.17"" x 6.69"" x 16.54""",6.930 lbs,,288 units,,,,http://p2.glwholesale.com/l/80820.jpg
"6"""" RIGID CASTER RUBBER 6"""" X 2""""",,80830,039593808304,Wheels & Abrasives,8/EACH,46 lbs,"14.17"" x 6.69"" x 16.54""",23.000 lbs,,0 units,,,,http://p2.glwholesale.com/l/80830.jpg
"40 pc 3/8""",,82965,039593829651,Wheels & Abrasives,36/EACH,7 lbs,"11.02"" x 9.45"" x 12.60""",,,"1,296 units",,,,http://p2.glwholesale.com/l/82965.jpg
160pc WIRE TERMINAL ASSORTMENT,,82980,039593829804,Wheels & Abrasives,36/EACH,25 lbs,"9.06"" x 16.14"" x 15.35""",,,"1,296 units",,,,http://p2.glwholesale.com/l/82980.jpg
150pc HAIR PIN ASSORTMENT,,82910,039593829101,Wheels & Abrasives,36/EACH,53 lbs,"9.06"" x 15.35"" x 14.57""",,,"1,620 units",,,,http://p2.glwholesale.com/l/82910.jpg
225pc O-ring Assortment,,82915,039593829156,Wheels & Abrasives,36/EACH,7 lbs,"11.02"" x 9.45"" x 12.60""",,,"1,296 units",,,,http://p2.glwholesale.com/l/82915.jpg
50pc Lynch Pin Assortment,,82925,039593829255,Wheels & Abrasives,12/EACH,51 lbs,"13.78"" x 11.02"" x 14.96""",,,576 units,,,,http://p2.glwholesale.com/l/82925.jpg
22pc PTO PIN ASSORTMENT,,82929,039593829293,Wheels & Abrasives,24/EACH,65 lbs,"14.17"" x 23.23"" x 10.63""",,,0 units,,,,http://p2.glwholesale.com/l/82929.jpg
200PC Spring Assortment,,82930,039593829309,Wheels & Abrasives,36/EACH,34 lbs,"9.06"" x 16.14"" x 15.35""",,,"1,296 units",,,,http://p2.glwholesale.com/l/82930.jpg
